"SA_GUID__1","householdsTotal","noHeating","noRenewableEnergyHouses","yearBuilt","mobHome","unoccupiedDwellings","oneParent","onePerson","noCar","noInternet","priWater","familyUnits"
"4c07d11d-f836-851d-e053-ca3ca8c0ca7f",130,0,73,31,1,13,10,29,4,11,34,24
"4c07d11d-f841-851d-e053-ca3ca8c0ca7f",90,0,44,26,0,18,3,29,2,9,60,18
"4c07d11d-f85c-851d-e053-ca3ca8c0ca7f",78,1,42,17,1,12,6,18,3,14,50,16
"4c07d11d-f861-851d-e053-ca3ca8c0ca7f",86,0,45,28,1,20,13,17,3,8,24,11
"4c07d11d-f88c-851d-e053-ca3ca8c0ca7f",98,5,51,27,0,14,5,30,6,12,51,12
"4c07d11d-f890-851d-e053-ca3ca8c0ca7f",73,0,35,30,0,15,10,20,3,17,73,10
"4c07d11d-f89e-851d-e053-ca3ca8c0ca7f",109,2,55,23,1,9,7,12,0,12,108,23
"4c07d11d-f8a7-851d-e053-ca3ca8c0ca7f",126,1,69,28,0,14,8,20,1,8,104,18
"4c07d11d-f8c4-851d-e053-ca3ca8c0ca7f",109,2,61,23,1,12,6,30,4,15,36,14
"4c07d11d-f8d7-851d-e053-ca3ca8c0ca7f",92,2,59,13,4,15,12,9,3,14,18,14
"4c07d11d-f8ec-851d-e053-ca3ca8c0ca7f",102,1,57,25,0,13,3,23,6,13,64,15
"4c07d11d-f904-851d-e053-ca3ca8c0ca7f",80,2,69,22,0,100,14,29,9,5,0,3
"4c07d11d-f917-851d-e053-ca3ca8c0ca7f",88,0,82,3,0,6,22,25,38,16,0,11
"4c07d11d-f926-851d-e053-ca3ca8c0ca7f",134,0,105,1,0,15,15,24,5,8,2,9
"4c07d11d-f928-851d-e053-ca3ca8c0ca7f",109,0,88,3,0,3,3,22,7,9,0,6
"4c07d11d-f929-851d-e053-ca3ca8c0ca7f",100,0,76,16,0,13,14,28,10,5,0,7
"4c07d11d-f92b-851d-e053-ca3ca8c0ca7f",102,0,80,15,0,23,8,38,16,10,0,4
"4c07d11d-f95e-851d-e053-ca3ca8c0ca7f",127,3,98,28,0,39,10,41,9,20,0,12
"4c07d11d-f978-851d-e053-ca3ca8c0ca7f",106,0,72,0,0,6,14,7,2,0,0,21
"4c07d11d-f979-851d-e053-ca3ca8c0ca7f",125,0,92,0,0,0,8,7,0,0,0,35
"4c07d11d-f989-851d-e053-ca3ca8c0ca7f",130,1,127,2,0,2,2,28,20,0,1,1
"4c07d11d-f98c-851d-e053-ca3ca8c0ca7f",88,2,64,4,0,17,11,24,12,10,0,6
"4c07d11d-f990-851d-e053-ca3ca8c0ca7f",71,0,64,0,0,8,5,22,6,2,0,6
"4c07d11d-f992-851d-e053-ca3ca8c0ca7f",71,3,53,8,0,15,1,21,4,6,0,6
"4c07d11d-f9be-851d-e053-ca3ca8c0ca7f",96,3,69,3,0,11,12,25,4,5,1,8
"4c07d11d-f9bf-851d-e053-ca3ca8c0ca7f",77,1,62,1,0,6,19,12,11,7,0,12
"4c07d11d-f9c2-851d-e053-ca3ca8c0ca7f",120,7,103,12,0,7,23,33,36,13,0,8
"4c07d11d-f9ce-851d-e053-ca3ca8c0ca7f",114,1,104,0,0,4,11,20,11,4,0,16
"4c07d11d-f9cf-851d-e053-ca3ca8c0ca7f",96,0,90,2,0,4,21,26,24,8,0,8
"4c07d11d-f9dd-851d-e053-ca3ca8c0ca7f",114,0,100,3,0,5,9,21,7,12,0,13
"4c07d11d-f9e6-851d-e053-ca3ca8c0ca7f",116,0,85,1,0,3,10,13,5,5,0,11
"4c07d11d-f9eb-851d-e053-ca3ca8c0ca7f",115,1,65,9,0,5,19,15,8,5,1,23
"4c07d11d-fa10-851d-e053-ca3ca8c0ca7f",112,0,105,1,0,13,11,14,3,1,0,21
"4c07d11d-fa14-851d-e053-ca3ca8c0ca7f",90,0,85,0,0,7,10,18,7,1,1,5
"4c07d11d-fa34-851d-e053-ca3ca8c0ca7f",96,0,68,0,0,7,6,18,4,2,0,7
"4c07d11d-fa37-851d-e053-ca3ca8c0ca7f",84,1,64,3,0,2,3,2,0,1,0,29
"4c07d11d-fa44-851d-e053-ca3ca8c0ca7f",113,0,78,10,0,14,5,24,1,6,0,17
"4c07d11d-fa46-851d-e053-ca3ca8c0ca7f",107,0,78,5,0,20,19,36,6,11,2,13
